subscription_id,customer_id,plan_id,start_date,cancel_date,status,mrr_usd
1,5,4,2023-01-02,2023-12-02,cancelled,24.92
2,7,6,2022-06-29,2024-07-28,cancelled,99.92
3,8,6,2025-08-05,,active,99.92
4,8,2,2025-08-07,,active,59.0
5,9,5,2024-11-09,,active,49.92
6,11,4,2022-03-16,2023-11-16,cancelled,24.92
7,14,1,2023-04-18,2023-11-18,cancelled,29.0
8,15,4,2023-03-24,2024-03-24,cancelled,24.92
9,15,2,2023-03-19,2024-05-19,cancelled,59.0
10,16,1,2023-02-18,2024-04-18,cancelled,29.0
11,17,4,2023-10-18,2023-10-18,cancelled,24.92
12,19,4,2024-03-29,2025-02-28,cancelled,24.92
13,20,1,2023-08-17,,active,29.0
14,21,4,2024-10-06,2025-01-06,cancelled,24.92
15,23,4,2023-08-10,2025-01-10,cancelled,24.92
16,24,1,2023-11-28,,active,29.0
17,26,5,2025-04-07,,active,49.92
18,27,4,2023-03-22,2023-04-22,cancelled,24.92
19,28,4,2024-06-30,,active,24.92
20,30,1,2022-06-17,2023-04-17,cancelled,29.0
21,31,1,2024-11-10,,active,29.0
22,32,3,2023-02-02,2023-02-02,cancelled,119.0
23,32,5,2023-01-20,2023-01-20,cancelled,49.92
24,33,6,2022-07-22,2023-07-22,cancelled,99.92
25,34,4,2025-10-03,,active,24.92
26,35,2,2025-10-27,,active,59.0
27,37,3,2023-08-30,,active,119.0
28,38,1,2022-10-18,2023-10-18,cancelled,29.0
29,39,2,2025-01-21,,active,59.0
30,40,5,2024-04-18,2025-08-18,cancelled,49.92
31,42,3,2024-06-30,,active,119.0
32,43,4,2022-05-08,2025-07-08,cancelled,24.92
33,44,6,2025-09-20,,active,99.92
34,45,4,2023-07-07,,active,24.92
35,48,5,2024-06-14,2024-06-14,cancelled,49.92
36,49,2,2024-07-28,,active,59.0
37,50,2,2023-02-11,2023-06-11,cancelled,59.0
38,53,4,2025-09-24,,active,24.92
39,54,1,2025-09-19,,active,29.0
40,55,6,2024-10-07,,active,99.92
41,57,2,2022-08-11,,active,59.0
42,58,6,2023-04-08,,active,99.92
43,59,1,2022-06-01,2023-08-01,cancelled,29.0
44,60,1,2023-11-11,2023-12-11,cancelled,29.0
45,60,2,2023-09-21,2024-10-21,cancelled,59.0
46,62,1,2023-08-29,,active,29.0
47,64,2,2023-11-20,,active,59.0
48,65,3,2023-08-29,2024-05-29,cancelled,119.0
49,66,3,2024-09-02,,active,119.0
50,66,4,2024-07-10,,active,24.92
51,67,2,2022-12-17,2023-11-17,cancelled,59.0
52,68,4,2025-05-11,,active,24.92
53,68,6,2025-04-26,,active,99.92
54,71,6,2025-05-14,,active,99.92
55,72,4,2023-03-22,,active,24.92
56,74,1,2025-05-10,,active,29.0
57,74,5,2025-05-11,,active,49.92
58,75,6,2025-03-04,,active,99.92
59,77,1,2025-04-12,,active,29.0
60,78,5,2022-08-15,2023-11-15,cancelled,49.92
61,79,3,2023-12-11,2023-12-11,cancelled,119.0
62,80,1,2022-10-24,,active,29.0
63,81,6,2025-08-16,,active,99.92
64,82,3,2024-12-04,2025-04-04,cancelled,119.0
65,84,6,2022-06-17,2025-10-17,cancelled,99.92
66,87,2,2025-02-27,2025-02-27,cancelled,59.0
67,87,1,2025-03-14,,active,29.0
68,89,2,2025-08-27,,active,59.0
69,91,4,2022-11-19,2023-12-19,cancelled,24.92
70,92,5,2025-02-15,,active,49.92
71,95,4,2025-05-01,,active,24.92
72,96,3,2024-06-12,2024-06-12,cancelled,119.0
73,97,2,2024-08-08,2024-08-08,cancelled,59.0
74,99,3,2022-04-27,2022-05-27,cancelled,119.0
75,100,3,2022-10-20,2023-06-20,cancelled,119.0
76,102,3,2024-11-28,2025-05-28,cancelled,119.0
77,107,6,2024-03-12,,active,99.92
78,109,4,2023-05-26,2024-05-26,cancelled,24.92
79,110,1,2022-08-11,2022-11-11,cancelled,29.0
80,111,6,2023-09-23,,active,99.92
81,112,6,2023-01-29,2023-01-29,cancelled,99.92
82,112,4,2023-02-02,,active,24.92
83,114,2,2025-05-15,,active,59.0
84,116,1,2025-08-09,,active,29.0
85,118,1,2023-03-26,,active,29.0
86,120,5,2024-08-11,,active,49.92
