customer_id,country,acquisition_channel,device_type,signup_date
1,UK,Organic,mobile,2023-12-01
2,SE,Organic,mobile,2025-09-15
3,US,Paid Ads,mobile,2025-02-06
4,SE,Partnership,desktop,2024-09-11
5,IN,Partnership,desktop,2022-12-16
6,BR,Organic,mobile,2022-12-16
7,AU,Referral,mobile,2022-05-28
8,IN,Email,desktop,2025-06-25
9,DE,Email,mobile,2024-09-14
10,DE,Paid Ads,desktop,2025-01-12
11,UK,Organic,mobile,2022-02-25
12,IN,Email,mobile,2025-10-03
13,UK,Organic,desktop,2025-05-22
14,BR,Organic,desktop,2023-03-27
15,DE,Referral,desktop,2023-02-01
16,US,Partnership,desktop,2023-02-04
17,DE,Organic,desktop,2023-08-21
18,CA,Referral,desktop,2024-06-15
19,NL,Organic,desktop,2024-02-17
20,AU,Email,mobile,2023-08-01
21,IN,Paid Ads,mobile,2024-09-26
22,UK,Organic,desktop,2022-11-15
23,NL,Organic,desktop,2023-08-02
24,NL,Paid Ads,desktop,2023-11-19
25,SE,Organic,mobile,2024-03-20
26,FR,Organic,mobile,2025-04-03
27,SE,Referral,mobile,2023-03-05
28,SE,Paid Ads,desktop,2024-06-02
29,AU,Referral,mobile,2024-09-04
30,CA,Organic,mobile,2022-04-30
31,DE,Referral,mobile,2024-09-21
32,SE,Paid Ads,mobile,2023-01-12
33,BR,Organic,desktop,2022-06-13
34,DE,Paid Ads,mobile,2025-09-13
35,CA,Organic,mobile,2025-09-29
36,UK,Email,desktop,2025-04-27
37,FR,Referral,desktop,2023-08-21
38,DE,Paid Ads,desktop,2022-08-23
39,IN,Organic,desktop,2024-12-17
40,AU,Organic,desktop,2024-02-28
41,NL,Paid Ads,mobile,2022-10-12
42,UK,Referral,mobile,2024-05-09
43,CA,Organic,mobile,2022-04-01
44,SE,Organic,mobile,2025-08-06
45,BR,Organic,mobile,2023-06-11
46,BR,Paid Ads,mobile,2024-11-23
47,FR,Organic,mobile,2023-09-01
48,CA,Paid Ads,mobile,2024-06-09
49,UK,Organic,desktop,2024-07-11
50,IN,Paid Ads,desktop,2023-02-07
51,NL,Organic,desktop,2025-10-03
52,SE,Referral,desktop,2025-03-24
53,AU,Organic,mobile,2025-09-04
54,US,Organic,mobile,2025-07-23
55,US,Paid Ads,desktop,2024-09-10
56,SE,Paid Ads,mobile,2025-08-18
57,UK,Paid Ads,desktop,2022-08-03
58,SE,Email,mobile,2023-02-26
59,CA,Email,mobile,2022-04-27
60,US,Organic,mobile,2023-09-21
61,FR,Email,desktop,2023-12-21
62,CA,Paid Ads,mobile,2023-07-01
63,US,Organic,desktop,2025-05-18
64,IN,Partnership,mobile,2023-11-06
65,NL,Email,desktop,2023-07-16
66,BR,Partnership,mobile,2024-07-06
67,CA,Organic,desktop,2022-11-18
68,BR,Organic,mobile,2025-04-21
69,BR,Paid Ads,desktop,2022-07-04
70,US,Referral,mobile,2025-10-19
71,CA,Organic,mobile,2025-03-21
72,NL,Email,desktop,2023-03-03
73,IN,Paid Ads,desktop,2022-01-16
74,DE,Paid Ads,mobile,2025-05-05
75,FR,Referral,desktop,2025-01-10
76,BR,Referral,desktop,2025-02-03
77,NL,Organic,desktop,2025-03-20
78,AU,Partnership,mobile,2022-07-03
79,AU,Paid Ads,desktop,2023-11-08
80,DE,Organic,desktop,2022-09-29
81,DE,Email,mobile,2025-06-22
82,DE,Partnership,desktop,2024-10-09
83,FR,Email,desktop,2023-09-29
84,FR,Email,mobile,2022-06-09
85,IN,Referral,mobile,2023-08-31
86,BR,Partnership,desktop,2023-09-21
87,UK,Organic,desktop,2025-02-04
88,AU,Email,mobile,2024-10-26
89,US,Referral,desktop,2025-07-15
90,US,Organic,mobile,2024-04-10
91,DE,Paid Ads,mobile,2022-10-07
92,SE,Paid Ads,mobile,2025-01-17
93,AU,Referral,mobile,2025-03-09
94,UK,Organic,mobile,2024-07-29
95,UK,Email,mobile,2025-03-20
96,US,Organic,mobile,2024-05-07
97,SE,Paid Ads,mobile,2024-06-12
98,UK,Email,desktop,2024-02-11
99,AU,Paid Ads,mobile,2022-03-09
100,BR,Paid Ads,desktop,2022-09-13
101,NL,Organic,mobile,2022-03-25
102,SE,Referral,mobile,2024-10-24
103,UK,Partnership,mobile,2023-09-05
104,SE,Partnership,mobile,2024-05-26
105,SE,Referral,mobile,2025-08-04
106,BR,Organic,desktop,2023-05-27
107,AU,Organic,desktop,2024-01-19
108,US,Organic,mobile,2025-03-03
109,BR,Paid Ads,mobile,2023-04-23
110,UK,Organic,mobile,2022-07-09
111,DE,Organic,desktop,2023-07-30
112,BR,Referral,mobile,2022-12-26
113,DE,Organic,mobile,2025-08-26
114,CA,Referral,desktop,2025-04-27
115,US,Partnership,mobile,2024-10-21
116,AU,Referral,desktop,2025-06-30
117,NL,Email,desktop,2025-04-23
118,SE,Email,mobile,2023-02-10
119,DE,Organic,desktop,2025-07-21
120,NL,Organic,desktop,2024-07-02
121,NL,Organic,mobile,2025-04-26
122,DE,Organic,mobile,2025-07-24
123,NL,Referral,desktop,2023-09-10
124,SE,Partnership,mobile,2022-09-18
125,IN,Partnership,desktop,2023-04-22
126,CA,Organic,mobile,2024-02-11
127,DE,Partnership,mobile,2025-05-07
128,SE,Organic,desktop,2025-06-19
129,US,Email,desktop,2022-01-20
130,DE,Organic,desktop,2024-05-28
131,SE,Organic,desktop,2024-01-29
132,SE,Paid Ads,mobile,2023-04-12
133,BR,Email,desktop,2022-10-07
134,IN,Organic,desktop,2023-10-09
135,DE,Organic,mobile,2025-09-08
136,AU,Partnership,desktop,2023-09-18
137,SE,Partnership,mobile,2024-06-07
138,CA,Organic,desktop,2025-01-06
139,BR,Referral,mobile,2023-11-16
140,SE,Organic,mobile,2025-10-05
141,DE,Paid Ads,mobile,2025-09-26
142,UK,Paid Ads,desktop,2023-05-31
143,SE,Paid Ads,desktop,2024-05-11
144,FR,Paid Ads,desktop,2023-08-16
145,UK,Paid Ads,desktop,2023-07-22
146,SE,Paid Ads,desktop,2022-04-07
